 Timestamp, Code
 06/07/26 12:39:23 , NBIT: Rx Time(s): 275  
 06/07/26 12:39:23 , NBIT: Tx Time(s): 9  
 06/07/26 12:39:23 , LWM2M: Request: 10376   : 1   : 6  Type: 10  Status: 0  
 06/07/26 12:39:23 , LWM2M: Request: 9   : 0   : 9  Type: 10  Status: 0  
 06/07/26 12:39:23 , LWM2M: Request: 9   : 0   : 7  Type: 10  Status: 0  
 06/07/26 12:39:24 , LWM2M: Request: 10377   : 0   : 3  Type: 10  Status: 0  
 06/07/26 12:39:24 , LWM2M: Request: 9   : 0   : 1  Type: 10  Status: 0  
 06/07/26 12:39:25 , LWM2M: Observe: 10376   : 0   : 6  Status: 0  Index: 0  
 06/07/26 12:39:27 , LWM2M: Observe: 10376   : 1   : 6  Status: 0  Index: 0  
 06/07/26 12:39:28 , LWM2M: Observe: 9   : 0   : 9  Status: 0  Index: 0  
 06/07/26 12:39:29 , LWM2M: Observe: 9   : 0   : 7  Status: 0  Index: 0  
 06/07/26 12:39:29 , NBIT: Transmission: 27830  
 06/07/26 12:39:31 , LWM2M: Observe: 10377   : 0   : 3  Status: 0  Index: 0  
 06/07/26 12:39:32 , LWM2M: Observe: 9   : 0   : 1  Status: 0  Index: 0  
 06/07/26 12:39:41 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 1  
 06/07/26 12:39:41 , LWM2M: Notify: 9   : 0   : 1  Status: 1  Ack: 2  
 06/07/26 12:39:53 , NBIT: Lwm2m Recovered: 10  
 06/07/26 12:39:54 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:39:55 , NBIT: Cereg: 0  
 06/07/26 12:39:55 , NBIT: Cereg: 2  
 06/07/26 12:39:58 , NBIT: Cereg: 1  
 06/07/26 12:39:59 , NBIT: Cereg: 1  
 06/07/26 12:40:04 , NBIT: SINR: 0  RSSI: 19  
 06/07/26 12:40:07 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 1  
 06/07/26 12:40:08 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:40:18 , LWM2M: Request: 10376   : 0   : 6  Type: 10  Status: 0  
 06/07/26 12:40:19 , NBIT: Earfcn: 1391  
 06/07/26 12:40:19 , NBIT: Pci: 5  EarfcnOffset: 1  
 06/07/26 12:40:19 , NBIT: Cell ID: 0966C149  
 06/07/26 12:40:19 , NBIT: RSRQ: 65529  RSRP: 65455  
 06/07/26 12:40:19 , NBIT: SINR: 16  RSSI: 65462  
 06/07/26 12:40:19 , NBIT: TAC: 6182  Band: 3  
 06/07/26 12:40:19 , NBIT: Opr Mode: 2  Tx Power: 80  ECL: 0  
 06/07/26 12:40:19 , NBIT: Sleep Duration: 0  
 06/07/26 12:40:19 , NBIT: Rx Time(s): 454  
 06/07/26 12:40:19 , NBIT: Tx Time(s): 16  
